1 1.0337
2 1.4998
3 1.8375
4 2.2942
5 2.1614
6 2.9609
7 3.0549
8 2.8653
9 2.9319
10 3.5297
11 3.3446
12 3.6838
13 3.3731
14 3.7127
15 3.3045
16 3.9483
